corrupt 2001,corrupt 2002,corrupt 2003
2.28,2.32,1.99
3.31,3.3,3.03
4.5,6.09,3.06
3.16,3.12,2.98
3.86,3.76,3.34
2.67,2.61,2.42
3.49,3.29,2.81
4.27,4.49,3.74
2.59,3.11,2.09
3.67,3.28,3.42
3.22,3,2.18
2.95,3.08,2.3
3.03,3.61,2.38
5.05,5.41,4.62
3.35,3.19,3.17
3.85,4.91,4.82
3.02,2.83,2.8
2.92,3.25,2.94
7.03,6.88,5.24
2.72,2.56,2.42
3.66,2.76,2.29
3.66,2.76,2.29
5.12,4.72,4.25
3.35,3.19,3.17
2.97,3.05,2.95
4.03,3.21,3.33
2,1.74,1.9
2.88,2.76,2.33
2.93,3.79,2.53
3.31,3.31,3.39
N/A,N/A,N/A
